Dataset,Config,Accuracy,FeatureTime,TrainTime,PredTime,TotalTime,NumKernels,NumDilations,FeatureDim
Fashion-MNIST,only_few_dilations,0.83,1.4108805656433105,0.06084585189819336,0.0011577606201171875,1.472884178161621,84,15,1260
CIFAR10-gray,full,0.29,1.9914100170135498,0.05130767822265625,0.0009579658508300781,2.043675661087036,84,15,1260
CIFAR10-gray,only_iso,0.305,0.541959285736084,0.016262531280517578,0.0005047321319580078,0.5587265491485596,84,5,420
CIFAR10-gray,only_aniso,0.3283333333333333,1.260812759399414,0.02431631088256836,0.0010485649108886719,1.286177635192871,84,10,840
CIFAR10-gray,half_kernels,0.3333333333333333,0.8969624042510986,0.01773548126220703,0.0005841255187988281,0.9152820110321045,42,15,630
CIFAR10-gray,quarter_kernels,0.32,0.44215965270996094,0.009303569793701172,0.0004837512969970703,0.4519469738006592,21,15,315
CIFAR10-gray,zero_bias,0.17333333333333334,1.8143014907836914,0.04671025276184082,0.0012040138244628906,1.8622157573699951,84,15,1260
CIFAR10-gray,random_bias,0.23166666666666666,1.8869976997375488,0.046433210372924805,0.0009341239929199219,1.9343650341033936,84,15,1260
CIFAR10-gray,mean_s,0.24166666666666667,1.922126293182373,0.053015947341918945,0.0015039443969726562,1.9766461849212646,84,15,1260
CIFAR10-gray,only_few_dilations,0.275,2.1611297130584717,0.05217576026916504,0.0013701915740966797,2.2146756649017334,84,15,1260
KMNIST,full,0.905,1.5159912109375,0.05053973197937012,0.0009584426879882812,1.5674893856048584,84,15,1260
KMNIST,only_iso,0.8633333333333333,0.4264028072357178,0.013539552688598633,0.0008089542388916016,0.440751314163208,84,5,420
KMNIST,only_aniso,0.8766666666666667,1.0281493663787842,0.026447772979736328,0.0008296966552734375,1.055426836013794,84,10,840
KMNIST,half_kernels,0.8883333333333333,0.7414205074310303,0.021016597747802734,0.0006101131439208984,0.7630472183227539,42,15,630
KMNIST,quarter_kernels,0.8683333333333333,0.38724303245544434,0.0088653564453125,0.0014209747314453125,0.39752936363220215,21,15,315
KMNIST,zero_bias,0.91,1.4929440021514893,0.045723915100097656,0.0009145736694335938,1.5395824909210205,84,15,1260
KMNIST,random_bias,0.9133333333333333,1.4514062404632568,0.04562211036682129,0.0012004375457763672,1.4982287883758545,84,15,1260
KMNIST,mean_s,0.7266666666666667,1.5047557353973389,0.053978681564331055,0.0012693405151367188,1.5600037574768066,84,15,1260
KMNIST,only_few_dilations,0.9,1.4982726573944092,0.04685378074645996,0.0009856224060058594,1.546112060546875,84,15,1260
USPS,full,0.955,1.430222511291504,0.055434465408325195,0.0010178089141845703,1.4866747856140137,84,15,1260
USPS,only_iso,0.945,0.45707201957702637,0.01578998565673828,0.0004887580871582031,0.47335076332092285,84,5,420
USPS,only_aniso,0.955,1.0950109958648682,0.027582883834838867,0.0006923675537109375,1.123286247253418,84,10,840
USPS,half_kernels,0.95,0.7392325401306152,0.018728017807006836,0.0006513595581054688,0.7586119174957275,42,15,630
USPS,quarter_kernels,0.9416666666666667,0.36713600158691406,0.01217341423034668,0.00048828125,0.37979769706726074,21,15,315
USPS,zero_bias,0.9183333333333333,1.4425740242004395,0.0492091178894043,0.0009472370147705078,1.4927303791046143,84,15,1260
USPS,random_bias,0.5833333333333334,1.3960556983947754,0.04990983009338379,0.0009245872497558594,1.446890115737915,84,15,1260
USPS,mean_s,0.8933333333333333,1.5016274452209473,0.053427696228027344,0.0009653568267822266,1.5560204982757568,84,15,1260
USPS,only_few_dilations,0.955,1.537423849105835,0.052620887756347656,0.0030536651611328125,1.5930984020233154,84,15,1260
Blood-Cells,full,0.8733333333333333,7.865534067153931,0.06042313575744629,0.0017151832580566406,7.927672386169434,84,15,1260
Blood-Cells,only_iso,0.7466666666666667,2.437964916229248,0.012156009674072266,0.0004923343658447266,2.450613260269165,84,5,420
Blood-Cells,only_aniso,0.8233333333333334,5.786645412445068,0.02501845359802246,0.0012500286102294922,5.81291389465332,84,10,840
Blood-Cells,half_kernels,0.815,4.139973402023315,0.018950939178466797,0.0008602142333984375,4.159784555435181,42,15,630
Blood-Cells,quarter_kernels,0.735,2.145310163497925,0.013429641723632812,0.00041556358337402344,2.1591553688049316,21,15,315
Blood-Cells,zero_bias,0.24333333333333335,8.296292781829834,0.04932737350463867,0.002359628677368164,8.34797978401184,84,15,1260
Blood-Cells,random_bias,0.3333333333333333,8.297765254974365,0.05350637435913086,0.001251220703125,8.352522850036621,84,15,1260
